2025-06-08 19:04:27,574 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:04:27,587 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:04:27,587 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:04:27,682 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:04:27,685 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:07:33,285 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:07:33,297 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:07:33,297 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:07:33,394 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:07:33,397 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:09:10,427 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:09:10,439 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:09:10,439 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:09:10,534 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:09:10,536 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:10:09,850 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:10:09,863 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:10:09,863 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:10:09,960 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:10:09,962 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:10:56,154 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:10:56,166 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:10:56,166 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:10:56,260 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:10:56,262 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:11:47,302 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:11:47,314 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:11:47,314 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:11:47,407 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:11:47,410 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:11:56,034 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:11:56,046 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:11:56,047 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:11:56,155 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:11:56,158 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:28:55,361 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:28:55,375 | INFO     | run_experiments | === Begin experiment: no_weather ===
